аба;1. Дебел вълнен плат.;2. Връхна мъжка дреха от този плат.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абаджия;1. Производител на аба.;2. Шивач на аба или търговец на аба и абени дрехи.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абажур;Полупак, покривало на лампа обикновено от плат или стъкло.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абанос;Тропическо дърво с твърда черна дървесина, от която се изработват мебели, сувенири.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абат;Католически свещенник;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абдал;(мн. грубо) Глупак.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абдикация;Отказване от владетелски права, от престол.;[прен.] Отказване от някакви права или задължения.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абдикирам;За монарх - отказвам се от престол или наследствено право на престол.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абзац;1. Отстъпът в началото на ред в писмен текст.;2. Писмения текст между два отстъпа.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абисинци;[остар.] Етиопци - през 1935 г. има война между Етиопия (тогава Абисиния) и Италия.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абитуриент;Випускник на средно училище.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абитуриентка;Момиче абитуриент.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абнегация;[книж.] Отричане от лични изгоди, отказване от права.;[юр.] Отменяване.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абонамент;1. Предплата за добиване на право за редовна услуга с определен срок на действие.;2. Самото право на редовна услуга.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
абонат;Лице което прави или използва абомамент.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
